번호,지역,상호,주소,Latitude,Longitude,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0015739,충남 천안시,GS공단주유소,충남 천안시 서북구 성거읍 성거길 216,36.8834,127.2069423,20210507,GS칼텍스,일반,0,0,1299,1100
A0015714,충남 천안시,건명주유소,충남 천안시 서북구 성환읍 천안대로 2164,36.9316814,127.1346091,20211025,SK에너지,셀프,0,0,1484,0
A0000153,충남 천안시,럭키주유소,충청남도 천안시 서북구 성환읍 천안대로 2520-1,36.9625026,127.1250097,20210104,GS칼텍스,일반,0,1419,1229,800
A0016059,충남 천안시,명품주유소,충남 천안시 동남구 광덕면 차령고개로 788,36.6725725,127.1413662,20210927,SK에너지,일반,0,0,0,0
A0015832,충남 천안시,믿음주유소,충남 천안시 서북구 성거읍 망향로 344,36.8512409,127.1837063,20211221,S-OIL,일반,0,1529,1379,0
A0007861,충남 천안시,비피에너지(주)독립주유소,충남 천안시 동남구 망향로 182,36.8392774,127.1746212,20210315,SK에너지,일반,0,0,1295,0
A0015607,충남 천안시,사랑주유소,충남 천안시 서북구 성환읍 천안대로 2086,36.9247005,127.1348474,20210815,S-OIL,셀프,0,1604,1394,0
A0002776,충남 천안시,제일주유소,충남 천안시 서북구 성환읍 천안대로 1960,36.9136559,127.1356303,20211029,SK에너지,일반,0,0,0,1040
A0016463,충남 천안시,탑주유소,충남 천안시 동남구 천안대로 525 (구성동),36.7967263,127.1559709,20210523,SK에너지,셀프,0,1515,1315,0
A0016143,충남 천안시,현대오일뱅크(주)직영 두정,충남 천안시 서북구 천안대로 970 (두정동),36.8339889,127.1362799,20210311,현대오일뱅크,일반,0,0,1298,950
A0016188,충남 천안시,동면주유소,충남 천안시 동남구 동면 충절로 2046,36.7685239,127.3306834,20220109,현대오일뱅크,일반,0,0,0,980
A0015463,충남 천안시,에덴주유소,충남 천안시 동남구 충절로 70 (원성동),36.806936,127.1656447,20221004,GS칼텍스,일반,0,0,0,1650
A0016247,충남 천안시,(주)광명주유소,충남 천안시 동남구 충절로 451 (삼룡동),36.7828984,127.1629727,20230618,GS칼텍스,일반,0,1587,1386,1280
A0012793,충남 천안시,(주)대륙주유소,충남 천안시 동남구 천안대로 782,36.818187,127.1653747,20230618,GS칼텍스,셀프,0,1525,1320,0
A0016224,충남 천안시,(주)대성제2주유소,충남 천안시 동남구 가마골1길 10 (신부동),36.8209916,127.1634076,20230618,S-OIL,셀프,0,1520,1324,0
A0016242,충남 천안시,(주)대성주유소,충남 천안시 서북구 성거읍 망향로 697,36.8792655,127.2010527,20230618,GS칼텍스,셀프,0,1525,1319,1500
A0015730,충남 천안시,(주)대운주유소,충남 천안시 서북구 천안대로 1307 (신당동),36.8576632,127.1525453,20230618,GS칼텍스,셀프,1795,1499,1325,1400
A0001991,충남 천안시,(주)비타민셀프주유소,충남 천안시 서북구  쌍용대로 220 (성정동),36.8169351,127.135546,20230618,현대오일뱅크,셀프,0,1534,1332,0
A0016154,충남 천안시,(주)스마트셀프주유소,충남 천안시 동남구 쌍용대로 142 (봉명동),36.8099962,127.1336749,20230618,현대오일뱅크,셀프,0,1512,1312,0
A0016050,충남 천안시,(주)신화에너지서울 번개셀프3주유소,충남 천안시 동남구 천안대로 223 (삼룡동),36.7682055,127.1650953,20230618,현대오일뱅크,셀프,0,1519,1329,0
A0016257,충남 천안시,(주)좋은주유소,충남 천안시 동남구 광풍로 1687,36.7693476,127.1427587,20230618,현대오일뱅크,일반,0,1535,1405,1200
A0015959,충남 천안시,153주유소,충남 천안시 동남구 풍세로 689,36.7724531,127.1371173,20230618,현대오일뱅크,일반,0,1628,1448,0
A0015513,충남 천안시,2공단주유소,충남 천안시 서북구  2공단4로 34,36.8496201,127.1212801,20230618,S-OIL,셀프,0,1639,1429,1520
A0013549,충남 천안시,5공단셀프주유소,충남 천안시 동남구 수신면 5산단로 196,36.745398,127.2709114,20230618,현대오일뱅크,셀프,0,1574,1375,1350
A0015516,충남 천안시,CJ대한통운㈜  입장주유소,충남 천안시 서북구 입장면 시장리1길 3-14,36.8994362,127.2173517,20230618,S-OIL,셀프,0,1535,1345,0
A0015467,충남 천안시,CJ대한통운㈜ 목천주유소,충남 천안시 동남구 목천읍 남부대로 1006,36.7715458,127.2250461,20230618,GS칼텍스,셀프,0,1535,1335,0
A0032715,충남 천안시,DH천안주유소,충남 천안시 서북구 천안대로 1166,36.845188,127.1550218,20230618,SK에너지,셀프,0,1530,1338,0
A0015813,충남 천안시,EM톨게이트주유소,충남 천안시 동남구 목천읍 남부대로 950,36.7739732,127.2198731,20230618,S-OIL,일반,0,1647,1437,0
A0009405,충남 천안시,GS4공단주유소,충남 천안시 서북구 직산읍 4산단3로 69,36.8615694,127.1157429,20230618,GS칼텍스,셀프,0,1597,1397,0
A0016221,충남 천안시,GS목천IC주유소,충남 천안시 동남구 목천읍 남부대로 983,36.7732763,127.2232604,20230618,GS칼텍스,셀프,0,1549,1339,0
A0016167,충남 천안시,HD현대오일뱅크㈜직영 번영주유소,충남 천안시 서북구 2공단1로 10 (성성동),36.8460825,127.1212604,20230618,현대오일뱅크,일반,0,1609,1429,1520
A0033044,충남 천안시,HD현대오일뱅크㈜직영 불당현대셀프주유소,충남 천안시 서북구 불당19로 1,36.8248233,127.1026505,20230618,현대오일뱅크,셀프,1798,1579,1399,0
A0016259,충남 천안시,HD현대오일뱅크㈜직영 종합운동장셀프주유소,충남 천안시 서북구 백석로 42백석동),36.8222828,127.1165682,20230618,현대오일뱅크,셀프,1939,1579,1399,0
A0016151,충남 천안시,HD현대오일뱅크㈜직영 천안푸른주유소,충남 천안시 동남구 서부대로 555,36.8168351,127.130266,20230618,현대오일뱅크,일반,0,1739,1559,0
A0019295,충남 천안시,HD현대오일뱅크㈜직영 천안현대셀프주유소,충남 천안시 서북구 삼성대로 346,36.838453,127.1575052,20230618,현대오일뱅크,셀프,1798,1579,1399,1520
A0016142,충남 천안시,HD현대오일뱅크㈜직영 협신주유소,충남 천안시 동남구 풍세로 583 (신방동),36.7652107,127.1295297,20230618,현대오일뱅크,일반,0,1609,1429,1520
A0016176,충남 천안시,SK에너지(주) 글로벌주유소,충남 천안시 서북구 동서대로 27 (백석동),36.8249572,127.1266461,20230618,SK에너지,셀프,1795,1577,1368,0
A0015459,충남 천안시,SK에너지(주) 삼성OK주유소,충남 천안시 서북구 3공단5로 78 (성성동),36.8385563,127.1179979,20230618,SK에너지,일반,0,1618,1489,1300
A0016149,충남 천안시,SK에너지(주) 중부주유소,충남 천안시 서북구 쌍용대로 215 (성정동),36.8167049,127.1347724,20230618,SK에너지,셀프,1795,1579,1388,0
A0015525,충남 천안시,SK에너지(주) 현진,충남 천안시 동남구 남부대로 112 (신방동),36.7856812,127.1298909,20230618,SK에너지,셀프,0,1599,1438,0
A0015674,충남 천안시,SK에너지(주)직영 나누리셀프주유소,충남 천안시 서북구 번영로 563 (성성동),36.8440202,127.1265174,20230618,SK에너지,셀프,0,1569,1369,0
A0016153,충남 천안시,SK에너지㈜ 대한주유소,충남 천안시 서북구 서부대로 422,36.8050259,127.12816,20230618,SK에너지,셀프,1795,1569,1389,0
A0016227,충남 천안시,SK에너지㈜ 훼미리주유소,충남 천안시 서북구 망향로 244,36.843246,127.1782635,20230618,SK에너지,일반,0,1618,1489,1300
A0015676,충남 천안시,VIP셀프주유소,충남 천안시 서북구 성거읍 봉주로 202,36.8785324,127.1693546,20230618,SK에너지,셀프,0,1595,1450,0
A0016127,충남 천안시,㈜남영전구 천안(부산)주유소,충남 천안시 동남구 수신면 성남로 793-40,36.7304219,127.2634764,20230618,알뜰(ex),셀프,0,1515,1325,0
A0033696,충남 천안시,㈜백마주유소,충남 천안시 동남구 신방남부길 87-1 (신방동),36.7683184,127.129092,20230618,S-OIL,셀프,0,1547,1365,0
A0004009,충남 천안시,㈜케이알산업 입장(상)주유소/충전소,충남 천안시 서북구 입장면 연곡길 407,36.9423149,127.1940723,20230618,알뜰(ex),셀프,0,1509,1315,0
A0000089,충남 천안시,가은주유소,충남 천안시 서북구 성환읍 천안대로 1899,36.9080395,127.1353126,20230618,SK에너지,일반,0,1538,1337,0
A0016904,충남 천안시,감성충만셀프,충남 천안시 동남구 쌍용대로 175,36.8131095,127.1338504,20230618,GS칼텍스,셀프,0,1518,1318,0
A0015520,충남 천안시,공원주유소,충남 천안시 동남구 광덕면 광덕로 225,36.6927367,127.1285527,20230618,현대오일뱅크,일반,0,1618,1458,1350
A0013552,충남 천안시,광덕셀프주유소,충남 천안시 동남구 광덕면 광풍로 240,36.6732212,127.0517288,20230618,SK에너지,셀프,0,1618,1438,1300
A0015179,충남 천안시,구도일주유소 월드스타,충남 천안시 서북구 서부대로 421,36.805019,127.1274145,20230618,S-OIL,셀프,0,1525,1330,0
A0015961,충남 천안시,굿모닝주유소,충남 천안시 서북구 봉정로 246,36.8238842,127.1444365,20230618,현대오일뱅크,일반,0,1534,1343,0
A0033353,충남 천안시,극동유화(주) 충청주유소,충남 천안시 서북구 성거읍 봉주로 279,36.8790981,127.1773504,20230618,현대오일뱅크,셀프,0,1547,1349,1300
A0016073,충남 천안시,남부주유소,충남 천안시 동남구 남부대로 84 (신방동),36.7858694,127.1268154,20230618,GS칼텍스,일반,0,1598,1438,0
A0015987,충남 천안시,남산주유소,충남 천안시 동남구 천안천공원3길 27-10,36.7978164,127.1486417,20230618,SK에너지,셀프,0,1599,1430,1300
A0032951,충남 천안시,남선석유(주) 백석셀프주유소,충남 천안시 서북구 백석로 161 (백석동),36.820626,127.1279435,20230618,S-OIL,셀프,0,1557,1343,0
A0012094,충남 천안시,남양주유소,충남 천안시 동남구 광덕면 광풍로 987,36.7119718,127.1153307,20230618,GS칼텍스,셀프,0,1618,1438,1350
A0015965,충남 천안시,남천안IC주유소,충남 천안시 동남구 천안대로 322,36.7768217,127.1649779,20230511,S-OIL,셀프,0,0,1495,0
A0015671,충남 천안시,다온주유소,충남 천안시 동남구 풍세로 930,36.790916,127.1492744,20230618,현대오일뱅크,셀프,0,1509,1309,1300
A0006842,충남 천안시,대성제5주유소,충남 천안시 동남구 청수로 135 (구성동),36.7943808,127.1587607,20230618,현대오일뱅크,셀프,0,1509,1309,0
A0015528,충남 천안시,대성주유소,충남 천안시 서북구 성환읍 천안대로 2021,36.9192134,127.1346119,20230618,GS칼텍스,일반,0,1635,1435,1450
A0015567,충남 천안시,대아주유소,충남 천안시 서북구 성거읍 성거길 16,36.8676101,127.1969045,20230618,SK에너지,셀프,0,1579,1379,0
A0016156,충남 천안시,대양셀프주유소,충남 천안시 서북구 충무로 166 (쌍용동),36.8006931,127.1224079,20230618,현대오일뱅크,셀프,1875,1557,1397,0
A0001186,충남 천안시,대원주유소,충남 천안시 동남구 충절로 261 (구성동),36.7968742,127.1719945,20230618,SK에너지,셀프,0,1588,1398,0
A0005623,충남 천안시,대평주유소,충남 천안시 동남구 목천읍 충절로 779,36.7687597,127.1986586,20230618,현대오일뱅크,일반,0,1568,1368,1300
A0015682,충남 천안시,대현에너지,충청남도 천안시 동남구 목천읍 충절로 995 (목천읍),36.7761212,127.2203186,20230618,SK에너지,셀프,0,1578,1395,0
A0015877,충남 천안시,대홍주유소,충남 천안시 서북구 성환읍 천안대로 2356,36.9488854,127.1327081,20230618,S-OIL,일반,0,1568,1368,1300
A0015568,충남 천안시,도림주유소,충남 천안시 서북구 입장면 성진로 1123,36.9147072,127.2535406,20230618,SK에너지,셀프,0,1619,1419,0
A0016166,충남 천안시,동방주유소,충남 천안시 동남구 성남면 5산단로 236,36.7486295,127.269472,20230618,GS칼텍스,일반,0,1574,1375,1300
A0015666,충남 천안시,동성주유소,충남 천안시 서북구 차돌로 14 (쌍용동),36.7994211,127.1325716,20230618,현대오일뱅크,셀프,0,1547,1347,1800
A0008252,충남 천안시,동신셀프주유소,충남 천안시 동남구 풍세로 907 (다가동),36.7979011,127.1424999,20230618,S-OIL,셀프,0,1549,1379,0
A0016189,충남 천안시,동일석유(주)천안동일주유소,충남 천안시 동남구 천안대로 536 (구성동),36.7968742,127.1719945,20230618,SK에너지,셀프,0,1544,1347,0
A0016110,충남 천안시,동천안농협주유소,충남 천안시 동남구 목천읍 남부대로 1155,36.7650644,127.2395828,20230618,NH-OIL,일반,0,1535,1335,1300
A0014260,충남 천안시,두정탑주유소,충남 천안시 서북구 동서대로 61,36.8259702,127.1302054,20230618,GS칼텍스,셀프,1899,1686,1554,0
A0016260,충남 천안시,드림오일천안주유소,충남 천안시 서북구 번영로 525,36.8468089,127.1221492,20230618,S-OIL,셀프,0,1568,1358,0
A0015935,충남 천안시,럭키셀프주유소,충남 천안시 서북구 성환읍 천안대로 1846,36.9036735,127.1363711,20230618,GS칼텍스,셀프,0,1538,1337,1300
A0015501,충남 천안시,맘모스주유소,충남 천안시 동남구 만남로 126 (신부동),36.8231455,127.1636892,20230618,SK에너지,일반,1947,1747,1599,0
A0015572,충남 천안시,망향주유소 경부고속(부산방향),충남 천안시 서북구 성거읍 석문길 98,36.8553216,127.1808206,20230618,알뜰(ex),셀프,1828,1514,1326,0
A0015530,충남 천안시,매봉셀프주유소,충남 천안시 동남구 병천면 충절로 1532,36.769487,127.2774794,20230618,SK에너지,셀프,0,1587,1387,1300
A0028516,충남 천안시,명성주유소,충남 천안시 서북구 직산읍 상덕로 174,36.8819096,127.1232877,20230618,GS칼텍스,일반,0,1688,1488,1450
A0015648,충남 천안시,명진에너지,충남 천안시 동남구 망향로 52 (신부동),36.8286428,127.1698819,20230618,S-OIL,셀프,0,1525,1324,0
A0015905,충남 천안시,목천IC주유소,충청남도 천안시 동남구 목천읍 남부대로 829 (목천읍),36.7813964,127.2092948,20230618,현대오일뱅크,일반,0,1628,1448,0
A0015662,충남 천안시,목천톨게이트주유소,충남 천안시 동남구 목천읍 충절로 952,36.7757066,127.2151095,20230618,SK에너지,일반,0,1657,1487,1500
A0033148,충남 천안시,미그린주유소,충남 천안시 서북구 번영로 730,36.8575506,127.1400582,20230618,현대오일뱅크,셀프,0,1539,1329,0
A0015479,충남 천안시,미니주유소,충남 천안시 동남구 다가7길 18 (다가동),36.799798,127.1457601,20230618,현대오일뱅크,일반,0,1599,1399,1400
A0015499,충남 천안시,미래주유소,충남 천안시 서북구 성거읍 성진로 588,36.911691,127.1962309,20230618,현대오일뱅크,일반,0,1615,1415,1250
